Date,Open,High,Low,Close,Volume,Market Cap
May-26-2013,131.986,136,130.615,133.48,0,1493842936.8842106
May-27-2013,133.5,135.465,124.7,129.745,0,1488920278.8993056
May-28-2013,129.77,130.58,125.6,129,0,1439280236.6319444
May-29-2013,129,132.59,127.662,132.3,0,1454416206.8971632
May-30-2013,132.25,132.25,127,128.799,0,1463545477.8188152
May-31-2013,128.799,129.9,126.4,129,0,1443010699.7561839
Jun-01-2013,128.815,129.78,127.199,129.3,0,1444664157.40625
Jun-02-2013,129.3,129.4,115.05,122.292,0,1384800050.8909774
Jun-03-2013,122.5,122.5,116,122.222,0,1343652162.5347223
Jun-04-2013,120.737,123.84,119.1,121.42,0,1366519793.8345587
Jun-05-2013,121.4,123.469,119.899,121.65,0,1366198056.90625
Jun-06-2013,121.9,123.1,117.25,118,0,1362952370.121951
Jun-07-2013,118.97,119,106.42,111.5,0,1285665765.9548612
Jun-08-2013,111,111.415,107.3,108.3,0,1230471192.25
Jun-09-2013,107.892,108.99,88.5,100,0,1126166925.7351916
Jun-10-2013,100.437,110.101,95.002,106.35,0,1177145220.3181818
Jun-11-2013,106.35,109.6,104,108.9,0,1204883955.1080139
Jun-12-2013,109,111.787,106.734,108.15,0,1228302244.1701388
Jun-13-2013,108.776,110.3,100.53,104,0,1222677445.1358886
Jun-14-2013,103.949,104.7,98,99.9789,0,1148091963.794425
Jun-15-2013,100,103.7,98,99.9881,0,1135366605.9722223
Jun-16-2013,99.8,101.6,98.9466,99.51,0,1129685674.728223
Jun-17-2013,99.9,102.21,99,101.7,0,1141778807.5228071
Jun-18-2013,101.95,111.111,101.033,107.4,0,1188925051.6550522
Jun-19-2013,107.05,110.225,105.755,108.25,0,1218040099.7951388
Jun-20-2013,108.251,114.3,107.5,110.15,0,1246330944.9265735
Jun-21-2013,111.29,114.99,107.685,109.5,0,1251009495.6979167
Jun-22-2013,109.5,109.956,107.514,108.3,0,1229628096.9513888
Jun-23-2013,108.2,108.8,106.234,107.6,0,1217834976.968641
Jun-24-2013,107.9,108.334,100.98,102.737,0,1181220991.5243056
Jun-25-2013,102.09,106.47,101.01,103.95,0,1179374742.8854167
Jun-26-2013,103.329,105.489,102.792,104,0,1181535897.0070422
Jun-27-2013,104,104,101.1,101.437,0,1166017535.2543554
Jun-28-2013,101.737,101.737,92.333,94.6492,0,1105778522.3055556
Jun-29-2013,94.66,99.99,93,94.994,0,1093324631.7212543
Jun-30-2013,94.999,98.1223,94.2223,96.614,0,1093902466.2937062
Jul-01-2013,97.51,97.6649,86.2972,88.05,0,1068851314.4236112
Jul-02-2013,88.05,92.3,87.51,90.134,0,1021768603.21875
Jul-03-2013,90.405,90.9812,76.9792,77.53,0,986216831.7589928
Jul-04-2013,78.89,83.105,72,80.5258,0,901020321.2543554
Jul-05-2013,79.99,80,65.526,68.431,0,838864814.4027778
Jul-06-2013,68.505,75,66.82,70.2773,0,792036540.4756944
Jul-07-2013,68.749,74.5611,66.62,74.5611,0,791126739.0557492
Jul-08-2013,76.5,80,72.6,76.516,0,878549527.6354166
Jul-09-2013,76,78.3,72.52,76.694,0,863024350.6076388
Jul-10-2013,76.72,87,76.2,86.76,0,897604562.9719298
Jul-11-2013,88,90.28,85.0799,88.98,0,992770237.1916376
Jul-12-2013,88.979,104,88.166,93.5949,0,1093406362.2118056
Jul-13-2013,93.9899,98.25,88.0622,98.1339,0,1060782341.1423612
Jul-14-2013,98.7,98.7,92.86,94.6913,0,1092639152.7508771
Jul-15-2013,93.605,101.9,93.11,98.4002,0,1106703860.9236112
Jul-16-2013,98.8903,99.8623,96.1416,97.4508,0,1118928651.84669
Jul-17-2013,96.71,99.97,96.18,98.5,0,1120160356.878049
Jul-18-2013,98.5,98.8,86.2,90.58,0,1050190864.8641115
Jul-19-2013,90.0689,95.2001,87.8,92.17,0,1035625722.9340278
Jul-20-2013,92,93.1,89.2711,89.3901,0,1051175381.5659722
Jul-21-2013,89.8214,91.95,88,90.7573,0,1025637478.5156795
Jul-22-2013,91.998,91.998,90.0754,91.61,0,1043066741.6701388
Jul-23-2013,91.6,96.8193,91.6,95.5585,0,1074547609.2083333
Jul-24-2013,95.5585,95.99,93,94.51,0,1082141085.0940766
Jul-25-2013,94.505,97.33,93.8657,96.9,0,1096702945.6006944
Jul-26-2013,96.95,97.4691,96,96.0202,0,1104579891.8715277
Jul-27-2013,96.0201,96.995,93,94.116,0,1083941020.4583333
Jul-28-2013,94.4,100.577,94,99.756,0,1105575185.630662
Jul-29-2013,98.6,102.5,98.455,101.2,0,1153031434.3506944
Jul-30-2013,101.489,107.99,100.47,107.99,0,1172404696.3776224
Jul-31-2013,107.95,111.344,103.88,106.09,0,1237309604.4684014
Aug-01-2013,106.213,108,103.011,104,0,1211387358.6736112
Aug-02-2013,104.856,108,101.211,104.501,0,1202745036.9930556
Aug-03-2013,104.501,105.78,102.002,104.005,0,1194759655.6770833
Aug-04-2013,104.95,105.95,103.523,105.144,0,1204088166.8919861
Aug-05-2013,105.12,107.77,105,106.22,0,1224253220.4895833
Aug-06-2013,106.72,107.382,105.557,106.75,0,1226729675.6527777
Aug-07-2013,106.75,106.75,106.75,106.75,0,1229098150
Aug-08-2013,106.75,106.75,101.26,103,0,1200724316.40625
Aug-09-2013,103.07,105.75,101.935,102.8,0,1189772905.2986112
Aug-10-2013,102.8,103.9,102.41,103,0,1188189281.1979167
Aug-11-2013,103,105.19,102.755,105,0,1199563910.1010454
Aug-12-2013,105,108,103.5,106.636,0,1209792541.4320557
Aug-13-2013,106.99,109.35,104.65,109,0,1234296704.7916667
Aug-14-2013,109.555,114.995,108.001,112.562,0,1295010012.9547038
Aug-15-2013,112.562,113.245,109,109.99,0,1284681610.9647887
Aug-16-2013,109.995,112.3,108.517,108.994,0,1268163042.3090277
Aug-17-2013,108.994,113.75,108.225,113.5,0,1277530513.53125
Aug-18-2013,112.75,114.688,112,113.5,0,1311687810.4390244
Aug-19-2013,113.38,123.062,111.771,119,0,1364524149.4201388
Aug-20-2013,119,123.011,117.508,121.205,0,1394751685.0347223
Aug-21-2013,121.21,124.914,119.682,123.3,0,1417413323.9965158
Aug-22-2013,123.3,123.5,120.6,121.15,0,1415723415.6875
Aug-23-2013,122,122,118.444,118.501,0,1390100979.4340277
Aug-24-2013,118.51,121.39,118.02,120.045,0,1384680636.3888888
Aug-25-2013,119.603,122.987,119.17,122.111,0,1406472356.6655052
Aug-26-2013,122.111,122.755,119.93,120.056,0,1411088719.8472223
Aug-27-2013,120.07,127.24,120.07,126.5,0,1447401364.3472223
Aug-28-2013,126.48,127.32,122.62,122.62,0,1441389667.3240418
Aug-29-2013,122.62,123.7,122.21,122.39,0,1427988599.1527777
Aug-30-2013,122.35,135.75,120.99,133.49,0,1464541260.7770035
Aug-31-2013,133.09,140.89,132.72,135.35,0,1579944253.5486112
Sep-01-2013,135.14,145.81,134.81,138.34,0,1601467803.8606272
Sep-02-2013,138.63,146.5,134.89,135.85,0,1596964608.8194444
Sep-03-2013,135.61,138.34,133,136.77,0,1584587724.8194444
Sep-04-2013,136.53,144.5,123.61,126.74,0,1563463714.3006992
