date,supply,daily_increase
2022-08-13,19119656.25,225.0
2022-08-13,19119881.25,225.0
2022-08-13,19120106.25,225.0
2022-08-13,19120331.25,225.0
2022-08-14,19120556.25,225.0
2022-08-14,19120781.25,225.0
2022-08-14,19121006.25,225.0
2022-08-14,19121231.25,225.0
2022-08-15,19121456.25,225.0
2022-08-15,19121681.25,225.0
2022-08-15,19121906.25,225.0
2022-08-15,19122131.25,225.0
2022-08-16,19122356.25,225.0
2022-08-16,19122581.25,225.0
2022-08-16,19122806.25,225.0
2022-08-16,19123031.25,225.0
2022-08-17,19123256.25,225.0
2022-08-17,19123481.83139535,225.58139535039663
2022-08-17,19123708.575581394,226.74418604373932
2022-08-18,19123935.31976744,226.7441860474646
2022-08-18,19124162.06395349,226.7441860474646
2022-08-18,19124387.5,225.43604651093483
2022-08-18,19124612.5,225.0
2022-08-19,19124837.5,225.0
2022-08-19,19125062.5,225.0
2022-08-19,19125287.5,225.0
2022-08-19,19125512.5,225.0
2022-08-19,19125737.5,225.0
2022-08-20,19125962.5,225.0
2022-08-20,19126187.5,225.0
2022-08-20,19126412.5,225.0
2022-08-20,19126637.5,225.0
2022-08-21,19126862.5,225.0
2022-08-21,19127087.5,225.0
2022-08-21,19127312.5,225.0
2022-08-21,19127537.5,225.0
2022-08-21,19127762.5,225.0
2022-08-22,19127987.5,225.0
2022-08-22,19128212.5,225.0
2022-08-22,19128438.614341084,226.11434108391404
2022-08-23,19128665.649224807,227.03488372266293
2022-08-23,19128894.137596898,228.48837209120393
2022-08-23,19129122.529069766,228.39147286862135
2022-08-23,19129349.273255814,226.7441860474646
2022-08-23,19129575.0,225.72674418613315
2022-08-24,19129800.0,225.0
2022-08-24,19130025.0,225.0
2022-08-24,19130250.0,225.0
2022-08-24,19130475.0,225.0
2022-08-25,19130700.0,225.0
2022-08-25,19130925.0,225.0
2022-08-25,19131150.0,225.0
2022-08-25,19131375.0,225.0
2022-08-25,19131600.0,225.0
2022-08-26,19131825.0,225.0
2022-08-26,19132050.0,225.0
2022-08-26,19132275.0,225.0
2022-08-26,19132500.0,225.0
2022-08-26,19132725.0,225.0
2022-08-27,19132950.0,225.0
2022-08-27,19133175.0,225.0
2022-08-27,19133400.0,225.0
2022-08-27,19133625.0,225.0
2022-08-28,19133850.0,225.0
2022-08-28,19134075.0,225.0
2022-08-28,19134300.0,225.0
2022-08-28,19134525.0,225.0
2022-08-29,19134751.5503876,226.55038759857416
2022-08-29,19134978.294573642,226.74418604373932
2022-08-29,19135205.03875969,226.7441860474646
2022-08-29,19135431.25,226.2112403102219
2022-08-30,19135656.25,225.0
2022-08-30,19135881.25,225.0
2022-08-30,19136106.25,225.0
2022-08-30,19136331.25,225.0
2022-08-30,19136557.558139537,226.30813953652978
2022-08-31,19136784.30232558,226.74418604373932
2022-08-31,19137011.48255814,227.18023255839944
2022-08-31,19137239.68023256,228.1976744197309
